barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-107111,MEL 098-1,C4,<,120,129,,,102,56.5,33.5,16,12,12.5,12.5,46.5,5.05,49.6,1,1
W8-107112,MEL 098-1,G7,<,123,131,,171?,98,60,33.5,19,12,11.5,12.5,49,4.72,45.3,1,1
W8-108111,MEL 099-2,F1,10,127,139,147,166,88,57,33.5,19,10.5,10.5,9,42.5,3.90,47.2,1,1
W8-108112,MEL 099-2,B5,>,125,133,143,166,94,63,33.5,20,10,10.5,9.5,36.5,4.27,50.4,3,2
W8-109111,MEL 100-1a,B2,>,120,127,143,166,86,61,34,19,11.5,11,11,38,4.10,47.8,3,3
W8-109112,MEL 100-1a,E5,<,125,129,140,160,88,61.5,35.5,18,12,11.5,11,39,4.37,46.0,4,4
W8-110111,MEL 101-1,D2,>,130,144,150,175,120,57.5,26.5,19,10,10.5,9.5,32.5,3.74,45.4,1,1
W8-110112,MEL 101-1,A6,>,130,138,147,171,98,60,29,20,11,10,10.5,37.5,3.99,49.6,1,1
W8-111111,MEL 102-1,C2,<,104,113,154,150,84,54,33,17,10.5,11,11.5,29.5,4.13,50.3,1,1
W8-111112,MEL 102-1,F5,<,104,129,140,150,58,55.5,36,12,11,12,12,36,3.62,32.7,0,0
W8-112111,MEL 103-1,D4,<,132,143,158,175,66,42,24,17,13,13,13.5,37.5,3.17,32.1,2,1
W8-112112,MEL 103-1,G7,<,127,140,150,175,72,46.5,24.5,20,13,12.5,12.5,35,3.37,39.4,0,0
W8-113111,MEL 104-1,D1,12,123,130,140,166,70,43.5,27.5,22,12,11,11,30.5,3.88,38.2,0,1
W8-113112,MEL 104-1,A5,<,120,126,136,171,40,31.5,23,17,11,11,11.5,30.5,2.34,19.8,0,1
W8-114111,MEL 104-2,C3,>,106,118,126,150,94,10,34.5,30,8.5,11,9,27,2.72,51.8,1,1
W8-114112,MEL 104-2,G6,<,111,122,133,150,90,57,34,24,9.5,10,10,30,2.63,41.8,2,0
W8-115111,MEL 105-1,F3,<,134,147,158,166,88,49,28.5,19,11.5,11.5,11,44.5,3.28,42.0,1,0
W8-115112,MEL 105-1,C7,>,130,138,152,160,88,50,28,20,12,12,12,39.5,4.24,40.3,2,1
W8-116111,MEL 106a-1,C4,>,123,131,140,166,88,70,36,15,11,10,11,36,5.30,43.8,2,1
W8-116112,MEL 106a-1,F7,>,125,136,145,171,88,67.5,36,17,10.5,10,10,37.5,4.26,44.6,1,0
W8-117111,MEL 107-1a,D3,>,125,134,140,171,86,58,23.5,27,10,9.5,10,22.5,3.93,52.6,1,1
