,,SSD,SSD,pots,Field  2010-11,Field 2011-12,,,Field 2012-13,,Field 2013-14,,
Gen 0=8-way F1,8-way F1 plant,F1 to F2,F2 to F3,F3 to F4,F4 to F5 nursery,F5 to F6 nursery,YT Reps,728 SNP 90k,F6 to F7 nursery,YT reps,F7 to F8 nursery,YT reps,
MEL 023-6,8MEL-1023-06,MEL 023-6,MEL 023-6,MEL 023-6,MEL 023-6,MEL 023-6,2,1-G-2,MEL 023-6,2,MEL 023-6,2,
MEL 023-7,8MEL-1023-07,MEL 023-7,MEL 023-7,MEL 023-7,MEL 023-7,MEL 023-7,0,,MEL 023-7,0,MEL 023-7,0,
MEL 023-8,8MEL-1023-08,MEL 023-8,,,,,,,,,,,
MEL 024-1,8MEL-1023-09,MEL 024-1,MEL 024-1,MEL 024-1,MEL 024-1,MEL 024-1,0,,MEL 024-1,0,MEL 024-1,0,
MEL 024-2,8MEL-1023-10,MEL 024-2,MEL 024-2,MEL 024-2,MEL 024-2,MEL 024-2,2,1-G-3,MEL 024-2,2,MEL 024-2,2,
MEL 024-3,8MEL-1023-11,MEL 024-3,MEL 024-3,MEL 024-3,MEL 024-3,MEL 024-3,0,,MEL 024-3,0,MEL 024-3,0,
MEL 024-4,8MEL-1020-09,MEL 024-4,MEL 024-4,MEL 024-4,,,,,,,,,
MEL 024-5,8MEL-1020-10,MEL 024-5,MEL 024-5,MEL 024-5,MEL 024-5 (plot 138),MEL 024-5,2,1-G-4,MEL 024-5,2,MEL 024-5,2,
,???,,,,MEL 024-5 (plot 1331),MEL 024-5,1,,stop unsure provenance,,,,
MEL 024-6,8MEL-1020-11,MEL 024-6,MEL 024-6,MEL 024-6,MEL 024-6,MEL 024-6,2,,MEL 024-6,0,MEL 024-6,0,
MEL 025-1,8MEL-1026-01,MEL 025-1,MEL 025-1a,MEL 025-1a,MEL 025-1a,MEL 025-1aA,3,1-G-5,MEL 025-1a,2,MEL 025-1a,2,
,,,,,,MEL 025-1aB,,,stop double family,,,,
